adaptability,expertise,shared_leadership,low,medium,high,expert,method,parent_configuration
m,m,h,0.2,0.6,0.2,5,WSA,15
m,h,l,0.245,0.26,0.495,5,WSA,16
m,h,m,0.105,0.39,0.505,5,WSA,17
m,h,h,0.095,0.28,0.625,5,WSA,18
h,l,l,0.6,0.11,0.29,5,WSA,19
h,l,m,0.46,0.24,0.3,5,WSA,20
h,l,h,0.45,0.13,0.42,5,WSA,21
h,m,l,0.275,0.36,0.365,5,WSA,22
h,m,m,0.135,0.49,0.375,5,WSA,23
h,m,h,0.05,0.25,0.7,5,WSA,24
h,h,l,0.2,0.11,0.69,5,WSA,25
h,h,m,0.06,0.24,0.7,5,WSA,26
h,h,h,0.05,0.1,0.85,5,WSA,27
l,l,l,0.7373,0.1774,0.0853,5,WSAAHP,1
l,l,m,0.5572,0.3202,0.1226,5,WSAAHP,2
l,l,h,0.4512,0.2239,0.3249,5,WSAAHP,3
l,m,l,0.4615,0.355,0.1834,5,WSAAHP,4
l,m,m,0.2367,0.483,0.2803,5,WSAAHP,5
l,m,h,0.2309,0.3529,0.4162,5,WSAAHP,6
l,h,l,0.4557,0.2249,0.3194,5,WSAAHP,7
l,h,m,0.2309,0.3529,0.4162,5,WSAAHP,8
l,h,h,0.2251,0.2228,0.5521,5,WSAAHP,9
m,l,l,0.7509,0.1805,0.0686,5,WSAAHP,10
m,l,m,0.3185,0.4222,0.2594,5,WSAAHP,11
m,l,h,0.3126,0.292,0.3953,5,WSAAHP,12
m,m,l,0.323,0.4232,0.2538,5,WSAAHP,13
m,m,m,0.1416,0.5246,0.3338,5,WSAAHP,14
m,m,h,0.0924,0.421,0.4866,5,WSAAHP,15
m,h,l,0.3172,0.2931,0.3897,5,WSAAHP,16
m,h,m,0.0924,0.421,0.4866,5,WSAAHP,17
m,h,h,0.0866,0.2909,0.6225,5,WSAAHP,18
h,l,l,0.5262,0.3046,0.1692,5,WSAAHP,19
h,l,m,0.3014,0.4326,0.266,5,WSAAHP,20
h,l,h,0.2956,0.3025,0.402,5,WSAAHP,21
h,m,l,0.3059,0.4336,0.2605,5,WSAAHP,22
h,m,m,0.0765,0.5644,0.3591,5,WSAAHP,23
h,m,h,0.0903,0.556,0.3537,5,WSAAHP,24
h,h,l,0.2251,0.2228,0.5521,5,WSAAHP,25
h,h,m,0.0866,0.2909,0.6225,5,WSAAHP,26
h,h,h,0.0591,0.1741,0.7668,5,WSAAHP,27
l,l,l,0.8679,0.132,0.0001,5,RNM,1
l,l,m,0.7486,0.2504,0.001,5,RNM,2
l,l,h,0.5912,0.4047,0.0041,5,RNM,3
l,m,l,0.4068,0.5785,0.0147,5,RNM,4
l,m,m,0.2403,0.7156,0.0441,5,RNM,5
l,m,h,0.1199,0.764,0.1161,5,RNM,6
l,h,l,0.0508,0.7116,0.2376,5,RNM,7
l,h,m,0.0168,0.5824,0.4008,5,RNM,8
l,h,h,0.0037,0.4122,0.5841,5,RNM,9
m,l,l,0.7486,0.2504,0.001,5,RNM,10
m,l,m,0.5912,0.4047,0.0041,5,RNM,11
m,l,h,0.4068,0.5785,0.0147,5,RNM,12
m,m,l,0.2403,0.7156,0.0441,5,RNM,13
m,m,m,0.1199,0.764,0.1161,5,RNM,14
m,m,h,0.0508,0.7116,0.2376,5,RNM,15
m,h,l,0.0168,0.5824,0.4008,5,RNM,16
m,h,m,0.0037,0.4122,0.5841,5,RNM,17
m,h,h,0.0006,0.2501,0.7493,5,RNM,18
h,l,l,0.5912,0.4047,0.0041,5,RNM,19
h,l,m,0.4068,0.5785,0.0147,5,RNM,20
h,l,h,0.2403,0.7156,0.0441,5,RNM,21
h,m,l,0.1199,0.764,0.1161,5,RNM,22
h,m,m,0.0508,0.7116,0.2376,5,RNM,23
h,m,h,0.0168,0.5824,0.4008,5,RNM,24
h,h,l,0.0037,0.4122,0.5841,5,RNM,25
h,h,m,0.0006,0.2501,0.7493,5,RNM,26
h,h,h,0.0001,0.1339,0.866,5,RNM,27
l,l,l,0.7,0.25,0.05,6,WSA,1
l,l,m,0.54,0.36,0.1,6,WSA,2
l,l,h,0.53,0.28,0.19,6,WSA,3
l,m,l,0.6,0.35,0.05,6,WSA,4
l,m,m,0.28,0.3,0.42,6,WSA,5
l,m,h,0.27,0.22,0.51,6,WSA,6
l,h,l,0.38,0.29,0.33,6,WSA,7
l,h,m,0.28,0.34,0.38,6,WSA,8
l,h,h,0.27,0.26,0.47,6,WSA,9
m,l,l,0.44,0.41,0.15,6,WSA,10
m,l,m,0.34,0.46,0.2,6,WSA,11
m,l,h,0.33,0.38,0.29,6,WSA,12
m,m,l,0.18,0.35,0.47,6,WSA,13
m,m,m,0.1,0.6,0.3,6,WSA,14
m,m,h,0.07,0.32,0.61,6,WSA,15
m,h,l,0.18,0.39,0.43,6,WSA,16
m,h,m,0.08,0.44,0.48,6,WSA,17
m,h,h,0.07,0.36,0.57,6,WSA,18
h,l,l,0.42,0.25,0.33,6,WSA,19
h,l,m,0.32,0.3,0.38,6,WSA,20
h,l,h,0.31,0.22,0.47,6,WSA,21
h,m,l,0.16,0.19,0.65,6,WSA,22
h,m,m,0.05,0.1,0.85,6,WSA,23
h,m,h,0.05,0.16,0.79,6,WSA,24
h,h,l,0.16,0.23,0.61,6,WSA,25
h,h,m,0.06,0.28,0.66,6,WSA,26
h,h,h,0.05,0.2,0.75,6,WSA,27
l,l,l,0.6893,0.2437,0.0669,6,WSAAHP,1
l,l,m,0.5716,0.3243,0.1041,6,WSAAHP,2
l,l,h,0.5612,0.2439,0.1949,6,WSAAHP,3
l,m,l,0.6877,0.2344,0.0778,6,WSAAHP,4
